id,team_id,year,att,made,range
0,0,1970,6,5,0
1,0,1970,7,7,1
2,0,1970,5,2,2
3,0,1970,10,7,3
4,0,1970,0,0,4
5,0,1970,0,0,5
6,1,1970,4,4,0
7,1,1970,6,5,1
8,1,1970,12,9,2
9,1,1970,9,1,3
10,1,1970,0,0,4
11,1,1970,0,0,5
12,2,1970,4,4,0
13,2,1970,7,5,1
14,2,1970,11,9,2
15,2,1970,9,3,3
16,2,1970,0,0,4
17,2,1970,0,0,5
18,3,1970,3,3,0
19,3,1970,4,3,1
20,3,1970,3,2,2
21,3,1970,4,1,3
22,3,1970,0,0,4
23,3,1970,0,0,5
24,4,1970,3,2,0
25,4,1970,6,3,1
26,4,1970,7,5,2
27,4,1970,10,6,3
28,4,1970,0,0,4
29,4,1970,0,0,5
30,5,1970,4,3,0
31,5,1970,3,2,1
32,5,1970,7,4,2
33,5,1970,7,3,3
34,5,1970,0,0,4
35,5,1970,0,0,5
36,7,1970,4,4,0
37,7,1970,6,3,1
38,7,1970,7,7,2
39,7,1970,11,6,3
40,7,1970,0,0,4
41,7,1970,0,0,5
42,8,1970,3,3,0
43,8,1970,3,1,1
44,8,1970,5,5,2
45,8,1970,8,3,3
46,8,1970,0,0,4
47,8,1970,0,0,5
48,9,1970,6,6,0
49,9,1970,9,8,1
50,9,1970,10,9,2
51,9,1970,11,6,3
52,9,1970,0,0,4
53,9,1970,0,0,5
54,10,1970,4,3,0
55,10,1970,9,6,1
56,10,1970,9,4,2
57,10,1970,10,6,3
58,10,1970,0,0,4
59,10,1970,0,0,5
60,12,1970,7,7,0
61,12,1970,6,3,1
62,12,1970,9,6,2
63,12,1970,5,2,3
64,12,1970,0,0,4
65,12,1970,0,0,5
66,13,1970,4,4,0
67,13,1970,4,2,1
68,13,1970,6,5,2
69,13,1970,15,11,3
70,13,1970,0,0,4
71,13,1970,0,0,5
72,14,1970,8,6,0
73,14,1970,6,4,1
74,14,1970,6,2,2
75,14,1970,4,2,3
76,14,1970,0,0,4
77,14,1970,0,0,5
78,15,1970,5,4,0
79,15,1970,2,0,1
80,15,1970,7,4,2
81,15,1970,9,1,3
82,15,1970,0,0,4
83,15,1970,0,0,5
84,16,1970,5,5,0
85,16,1970,14,11,1
86,16,1970,3,1,2
87,16,1970,15,7,3
88,16,1970,0,0,4
89,16,1970,0,0,5
90,18,1970,2,2,0
91,18,1970,9,8,1
92,18,1970,11,7,2
93,18,1970,10,2,3
94,18,1970,0,0,4
95,18,1970,0,0,5
96,19,1970,8,8,0
97,19,1970,3,2,1
98,19,1970,5,3,2
99,19,1970,7,4,3
100,19,1970,0,0,4
101,19,1970,0,0,5
102,30,1970,5,5,0
103,30,1970,5,4,1
104,30,1970,8,6,2
105,30,1970,14,3,3
106,30,1970,0,0,4
107,30,1970,0,0,5
108,20,1970,6,5,0
109,20,1970,11,6,1
110,20,1970,7,3,2
111,20,1970,4,1,3
112,20,1970,0,0,4
113,20,1970,0,0,5
114,22,1970,4,3,0
115,22,1970,4,3,1
116,22,1970,4,1,2
117,22,1970,8,1,3
118,22,1970,0,0,4
119,22,1970,0,0,5
120,23,1970,7,6,0
121,23,1970,6,4,1
122,23,1970,5,3,2
123,23,1970,10,2,3
124,23,1970,0,0,4
125,23,1970,0,0,5
126,24,1970,11,10,0
127,24,1970,14,11,1
128,24,1970,11,5,2
129,24,1970,9,3,3
130,24,1970,0,0,4
131,24,1970,0,0,5
132,11,1970,6,6,0
133,11,1970,5,5,1
134,11,1970,7,5,2
135,11,1970,9,4,3
136,11,1970,0,0,4
137,11,1970,0,0,5
138,26,1970,5,4,0
139,26,1970,8,6,1
140,26,1970,5,1,2
141,26,1970,7,4,3
142,26,1970,0,0,4
143,26,1970,0,0,5
144,28,1970,4,4,0
145,28,1970,8,3,1
146,28,1970,1,0,2
147,28,1970,11,3,3
148,28,1970,0,0,4
149,28,1970,0,0,5
150,31,1970,8,8,0
151,31,1970,14,11,1
152,31,1970,4,4,2
153,31,1970,16,7,3
154,31,1970,0,0,4
155,31,1970,0,0,5
156,0,1971,7,7,0
157,0,1971,5,5,1
158,0,1971,13,6,2
159,0,1971,11,5,3
160,0,1971,0,0,4
