id,team_id,year,ret,yds,td,20_plus,40_plus,lng,fc,fum
0,0,1970,49,967,0,0,0,55,0,0
1,1,1970,56,1472,4,0,0,96,0,0
2,2,1970,39,1002,1,0,0,95,0,0
3,3,1970,62,1244,2,0,0,95,0,0
4,4,1970,49,1114,0,0,0,39,0,0
5,5,1970,44,1001,1,0,0,94,0,0
6,7,1970,47,926,0,0,0,32,0,0
7,8,1970,42,813,0,0,0,41,0,0
8,9,1970,44,997,0,0,0,48,0,0
9,10,1970,45,1161,1,0,0,99,0,0
10,12,1970,37,888,1,0,0,100,0,0
11,13,1970,48,1036,1,0,0,96,0,0
12,14,1970,59,1252,0,0,0,82,0,0
13,15,1970,47,916,0,0,0,32,0,0
14,16,1970,52,1157,0,0,0,69,0,0
15,18,1970,56,1106,0,0,0,41,0,0
16,19,1970,43,959,1,0,0,85,0,0
17,30,1970,55,1168,0,0,0,45,0,0
18,20,1970,63,1422,2,0,0,101,0,0
19,22,1970,62,1275,0,0,0,52,0,0
20,23,1970,44,1017,0,0,0,62,0,0
21,24,1970,47,1236,1,0,0,98,0,0
22,11,1970,61,1223,0,0,0,51,0,0
23,26,1970,53,1044,0,0,0,38,0,0
24,28,1970,40,997,0,0,0,91,0,0
25,31,1970,36,842,0,0,0,66,0,0
26,0,1971,46,1075,0,0,0,74,0,0
27,1,1971,59,1325,0,0,0,41,0,0
28,2,1971,43,863,0,0,0,37,0,0
29,3,1971,74,1673,0,0,0,44,0,0
30,4,1971,44,960,0,0,0,48,0,0
31,5,1971,46,1065,0,0,0,52,0,0
32,7,1971,58,1363,1,0,0,103,0,0
33,8,1971,49,1000,0,0,0,71,0,0
34,9,1971,47,1031,0,0,0,41,0,0
35,10,1971,32,679,0,0,0,54,0,0
36,12,1971,50,1376,2,0,0,101,0,0
37,13,1971,32,806,1,0,0,94,0,0
38,14,1971,49,1183,0,0,0,52,0,0
39,15,1971,59,1477,0,0,0,82,0,0
40,16,1971,63,1416,1,0,0,93,0,0
41,18,1971,55,1168,0,0,0,41,0,0
42,19,1971,51,1233,2,0,0,102,0,0
43,30,1971,59,1409,0,0,0,45,0,0
44,20,1971,58,1546,1,0,0,90,0,0
45,22,1971,64,1354,0,0,0,45,0,0
46,23,1971,54,1234,0,0,0,44,0,0
47,24,1971,54,1322,1,0,0,105,0,0
48,11,1971,43,913,0,0,0,48,0,0
49,26,1971,56,1143,0,0,0,51,0,0
50,28,1971,49,1120,0,0,0,77,0,0
51,31,1971,41,960,0,0,0,47,0,0
52,0,1972,44,1041,1,0,0,98,0,0
53,1,1972,52,1528,2,0,0,94,0,0
54,2,1972,46,1018,0,0,0,62,0,0
55,3,1972,60,1389,0,0,0,66,0,0
56,4,1972,55,1256,1,0,0,94,0,0
57,5,1972,41,933,0,0,0,47,0,0
58,7,1972,53,1152,0,0,0,41,0,0
59,8,1972,60,1273,0,0,0,41,0,0
60,9,1972,46,1057,0,0,0,48,0,0
61,10,1972,47,1321,1,0,0,93,0,0
62,12,1972,50,1080,0,0,0,44,0,0
63,13,1972,24,546,0,0,0,45,0,0
64,14,1972,59,1375,0,0,0,78,0,0
65,15,1972,52,1039,0,0,0,52,0,0
66,16,1972,50,1262,1,0,0,92,0,0
67,18,1972,56,1218,0,0,0,51,0,0
68,19,1972,52,1304,0,0,0,62,0,0
69,30,1972,54,1093,0,0,0,43,0,0
70,20,1972,49,1141,0,0,0,89,0,0
71,22,1972,55,1293,0,0,0,49,0,0
72,23,1972,38,813,0,0,0,49,0,0
73,24,1972,56,1287,0,0,0,53,0,0
74,11,1972,48,1133,0,0,0,45,0,0
75,26,1972,62,1312,0,0,0,61,0,0
76,28,1972,33,760,0,0,0,82,0,0
77,31,1972,42,989,0,0,0,48,0,0
78,0,1973,63,1301,0,0,0,54,0,0
79,1,1973,59,1344,1,0,0,95,0,0
80,2,1973,39,876,0,0,0,41,0,0
81,3,1973,42,972,2,0,0,101,0,0
82,4,1973,36,793,0,0,0,50,0,0
83,5,1973,49,1084,0,0,0,59,0,0
84,7,1973,58,1369,1,0,0,97,0,0
85,8,1973,70,1597,0,0,0,70,0,0
