id,team_id,year,playtype_id,att,cmp,yds,20_plus,40_plus,lng,1st,td,fum,int,sack
0,0,1970,0,383,226,2990,0,0,79,125,25,0,10,8
1,1,1970,0,422,210,2431,0,0,69,104,21,0,22,33
2,2,1970,0,339,172,2097,0,0,56,97,12,0,11,31
3,3,1970,0,402,213,2916,0,0,48,120,13,0,26,53
4,4,1970,0,403,183,2358,0,0,74,112,11,0,28,44
5,5,1970,0,392,190,2752,0,0,78,134,17,0,24,16
6,7,1970,0,390,178,2689,0,0,79,104,16,0,19,26
7,8,1970,0,387,192,2936,0,0,80,119,24,0,19,57
8,9,1970,0,289,154,2038,0,0,61,86,13,0,16,38
9,10,1970,0,416,219,3087,0,0,55,148,23,0,22,33
10,12,1970,0,297,149,2445,0,0,89,95,18,0,16,39
11,13,1970,0,299,159,2284,0,0,54,100,15,0,19,36
12,14,1970,0,410,218,2651,0,0,79,126,16,0,23,23
13,15,1970,0,342,197,2262,0,0,51,110,18,0,21,53
14,16,1970,0,403,230,2892,0,0,59,149,19,0,12,37
15,18,1970,0,386,193,2592,0,0,72,122,14,0,22,35
16,19,1970,0,294,167,2121,0,0,58,107,19,0,12,36
17,30,1970,0,470,238,2768,0,0,87,126,12,0,23,33
18,20,1970,0,351,177,2196,0,0,89,110,11,0,24,43
19,22,1970,0,392,176,1975,0,0,48,98,7,0,28,42
20,23,1970,0,418,210,3029,0,0,60,139,28,0,21,19
21,24,1970,0,426,218,2658,0,0,71,120,17,0,13,23
22,11,1970,0,342,203,2357,0,0,66,100,23,0,10,29
23,26,1970,0,415,213,2690,0,0,49,112,11,0,22,28
24,28,1970,0,384,150,2312,0,0,87,97,12,0,32,28
25,31,1970,0,344,173,2378,0,0,72,111,12,0,15,29
26,0,1970,1,471,0,1580,0,0,45,86,13,0,0,0
27,1,1970,1,353,0,1092,0,0,45,55,3,0,0,0
28,2,1970,1,461,0,2057,0,0,76,100,16,0,0,0
29,3,1970,1,367,0,1465,0,0,56,71,8,0,0,0
30,4,1970,1,436,0,1802,0,0,80,87,17,0,0,0
31,5,1970,1,462,0,1579,0,0,63,84,14,0,0,0
32,7,1970,1,429,0,1998,0,0,75,110,18,0,0,0
