id,team_id,year,net_yds,punts,yds,in_20,oob,dn,tb,fc,ret,rety,td,p_blk
0,0,1970,2617,75,2877,0,3,9,4,21,38,180,0,0
1,1,1970,2916,84,3424,0,5,8,12,19,40,268,0,0
2,2,1970,3079,79,3651,0,1,10,9,11,48,392,2,0
3,3,1970,2897,83,3228,0,3,12,2,23,42,291,0,1
4,4,1970,3236,87,3732,0,4,7,4,16,56,416,0,0
5,5,1970,2800,71,3023,0,1,11,7,28,23,83,0,1
6,7,1970,2489,65,2659,0,4,11,4,20,26,90,0,0
7,8,1970,2773,74,3165,0,4,11,4,20,34,312,1,1
8,9,1970,2961,76,3415,0,5,10,2,8,51,414,0,0
9,10,1970,2314,63,2819,0,5,3,7,9,38,365,1,1
10,12,1970,2446,69,2847,0,1,11,6,12,38,281,1,1
11,13,1970,2071,58,2392,0,0,9,4,25,20,241,1,0
12,14,1970,2393,71,2596,0,1,24,2,22,22,163,1,0
13,15,1970,2617,76,2944,0,4,7,3,22,40,267,0,0
14,16,1970,1888,54,2069,0,5,7,6,14,21,61,0,1
15,18,1970,2425,73,2925,0,2,6,6,16,42,380,0,1
16,19,1970,2270,62,2483,0,2,13,5,12,29,113,0,1
17,30,1970,2998,84,3559,0,3,6,6,16,52,441,0,1
18,20,1970,3043,87,3501,0,10,20,6,11,40,338,0,0
19,22,1970,3021,86,3364,0,7,18,2,16,42,303,0,1
20,23,1970,2758,79,3121,0,2,9,3,24,40,303,0,1
21,24,1970,2317,67,2618,0,8,6,6,15,32,181,0,0
22,11,1970,2134,61,2493,0,1,6,5,13,35,259,0,1
23,26,1970,2755,77,3269,0,2,6,4,22,41,434,1,2
24,28,1970,3041,78,3445,0,4,6,5,11,51,304,0,1
25,31,1970,1927,61,2309,0,4,9,3,7,38,322,1,0
26,0,1971,1810,51,1974,0,1,7,6,17,19,44,0,1
27,1,1971,2763,77,3095,0,7,9,8,22,31,172,0,0
28,2,1971,2799,73,3263,0,4,12,8,8,41,304,1,0
29,3,1971,2501,75,3067,0,1,11,6,16,40,446,0,1
30,4,1971,2588,76,3176,0,3,7,6,14,45,468,0,1
31,5,1971,2403,67,2670,0,3,15,2,19,26,227,0,2
32,7,1971,2164,61,2364,0,4,9,2,21,24,160,1,1
33,8,1971,2232,55,2392,0,2,10,6,17,20,40,0,0
34,9,1971,2438,64,2864,0,6,4,7,6,40,286,0,1
35,10,1971,2235,62,2542,0,1,5,2,14,40,267,0,0
36,12,1971,1978,56,2329,0,0,8,6,15,26,231,0,1
37,13,1971,1901,52,2087,0,1,6,4,14,26,106,0,1
38,14,1971,2687,75,3139,0,6,13,4,11,40,372,0,1
39,15,1971,2059,60,2216,0,3,7,2,21,26,117,0,1
40,16,1971,2302,66,2681,0,3,2,3,8,50,319,0,0
41,18,1971,2607,78,3026,0,4,9,3,21,41,359,0,0
42,19,1971,1541,42,1752,0,2,9,5,6,18,111,0,2
43,30,1971,2620,75,3044,0,8,10,6,12,39,304,0,0
44,20,1971,1929,56,2238,0,2,12,7,12,23,169,0,0
45,22,1971,2930,87,3249,0,6,12,2,31,36,279,1,0
46,23,1971,2206,62,2474,0,1,8,5,22,26,168,0,0
47,24,1971,2709,70,2896,0,8,9,6,20,27,67,0,0
48,11,1971,2221,58,2348,0,4,9,2,25,17,87,0,1
49,26,1971,2857,77,3188,0,7,12,4,11,43,251,0,0
50,28,1971,2976,79,3455,0,3,7,8,16,45,319,0,0
51,31,1971,3099,89,3515,0,5,16,4,17,47,336,0,0
52,0,1972,2332,64,2542,0,2,5,7,29,20,70,0,1
53,1,1972,2512,67,2758,0,6,5,6,26,24,126,0,0
54,2,1972,2505,66,2777,0,6,12,6,16,26,152,0,0
55,3,1972,2695,80,3104,0,5,14,4,17,39,329,1,1
56,4,1972,2139,60,2408,0,1,10,1,19,28,249,1,1
57,5,1972,3061,81,3498,0,0,10,4,21,46,357,0,0
58,7,1972,2709,73,2873,0,3,10,1,22,37,144,0,0
59,8,1972,1556,45,1813,0,5,7,5,11,17,157,1,0
60,9,1972,2372,66,2960,0,3,7,13,4,38,328,0,1
61,10,1972,2056,57,2400,0,4,3,7,13,29,204,0,1
62,12,1972,1848,51,1949,0,4,3,3,26,15,41,0,0
63,13,1972,1607,44,1734,0,4,9,3,11,17,67,0,0
64,14,1972,2383,63,2540,0,0,8,1,28,26,137,0,0
65,15,1972,2310,61,2609,0,8,10,3,10,30,239,0,0
66,16,1972,1655,47,2006,0,3,4,9,3,27,171,0,1
67,18,1972,1727,51,2006,0,5,11,2,9,23,239,0,1
68,19,1972,1413,43,1734,0,6,5,0,6,26,321,1,0
69,30,1972,3107,85,3486,0,8,14,4,27,31,299,1,1
70,20,1972,2309,65,2714,0,7,9,9,6,32,225,0,2
71,22,1972,2473,75,2859,0,7,8,1,24,34,366,1,1
72,23,1972,1776,55,2031,0,6,5,2,11,28,215,0,3
73,24,1972,2230,53,2344,0,3,15,3,10,22,54,0,0
74,11,1972,2214,59,2273,0,2,8,1,29,19,39,0,0
75,26,1972,2518,71,2899,0,7,8,5,14,36,281,0,1
76,28,1972,2526,66,2875,0,1,7,9,10,37,169,0,2
77,31,1972,2134,62,2651,0,5,7,10,4,35,317,0,1
78,0,1973,2888,79,3455,0,5,11,10,7,46,367,0,0
79,1,1973,3033,86,3427,0,3,12,5,26,40,294,0,0
80,2,1973,2587,68,2790,0,8,9,4,20,27,123,0,0
81,3,1973,2288,66,2660,0,4,6,3,19,34,312,1,0
82,4,1973,2717,69,3114,0,5,14,7,12,31,257,0,0
83,5,1973,2991,82,3321,0,4,11,3,19,44,270,0,1
84,7,1973,2232,66,2478,0,3,15,3,21,23,186,0,1
85,8,1973,2581,72,2958,0,3,15,6,10,35,257,0,3
86,9,1973,2936,80,3642,0,8,7,13,3,48,446,0,1
87,10,1973,2082,62,2402,0,2,7,2,21,28,280,0,2
88,12,1973,2156,59,2448,0,7,7,7,7,29,152,1,2
89,13,1973,1789,48,2031,0,3,6,3,8,28,182,0,0
90,14,1973,2160,64,2616,0,2,7,4,16,35,376,0,0
