id,team_id,year,ret,yds,td,20_plus,40_plus,lng,fc,fum
0,0,1970,48,550,0,0,0,76,12,0
1,1,1970,57,246,0,0,0,15,5,0
2,2,1970,37,327,1,0,0,79,28,0
3,3,1970,45,298,0,0,0,54,9,0
4,4,1970,63,556,0,0,0,45,13,0
5,5,1970,34,236,0,0,0,38,16,0
6,7,1970,41,315,1,0,0,74,24,0
7,8,1970,31,173,0,0,0,17,15,0
8,9,1970,31,371,0,0,0,60,28,0
9,10,1970,36,351,1,0,0,80,26,0
10,12,1970,32,237,0,0,0,34,17,0
11,13,1970,30,295,1,0,0,77,15,0
12,14,1970,32,100,0,0,0,16,10,0
13,15,1970,34,356,2,0,0,77,13,0
14,16,1970,29,193,1,0,0,45,23,0
15,18,1970,26,150,0,0,0,21,20,0
16,19,1970,34,306,1,0,0,65,14,0
17,30,1970,41,257,0,0,0,33,16,0
18,20,1970,25,98,0,0,0,12,20,0
19,22,1970,32,305,0,0,0,62,9,0
20,23,1970,37,308,1,0,0,63,21,0
21,24,1970,62,418,0,0,0,49,17,0
22,11,1970,27,45,0,0,0,9,15,0
23,26,1970,29,214,0,0,0,41,13,0
24,28,1970,51,281,0,0,0,52,19,0
25,31,1970,35,216,0,0,0,53,15,0
26,0,1971,39,268,0,0,0,38,12,0
27,1,1971,36,262,0,0,0,43,9,0
28,2,1971,25,145,0,0,0,47,29,0
29,3,1971,44,343,2,0,0,68,11,0
30,4,1971,41,320,0,0,0,28,4,0
31,5,1971,40,359,0,0,0,74,6,0
32,7,1971,30,234,0,0,0,34,16,0
33,8,1971,37,215,0,0,0,19,13,0
34,9,1971,33,150,0,0,0,23,20,0
35,10,1971,43,351,0,0,0,65,34,0
36,12,1971,31,248,0,0,0,42,14,0
37,13,1971,41,432,0,0,0,47,21,0
38,14,1971,24,172,0,0,0,50,16,0
39,15,1971,37,174,0,0,0,32,8,0
40,16,1971,19,122,0,0,0,15,24,0
41,18,1971,25,155,0,0,0,19,14,0
42,19,1971,23,194,0,0,0,38,9,0
43,30,1971,32,198,0,0,0,31,21,0
44,20,1971,38,177,0,0,0,30,5,0
45,22,1971,31,181,0,0,0,50,17,0
46,23,1971,29,182,0,0,0,34,10,0
47,24,1971,35,172,0,0,0,28,20,0
48,11,1971,45,427,0,0,0,33,19,0
49,26,1971,16,100,0,0,0,14,16,0
50,28,1971,35,264,1,0,0,67,18,0
51,31,1971,27,164,0,0,0,36,30,0
52,0,1972,44,373,0,0,0,41,9,0
53,1,1972,28,178,0,0,0,29,6,0
54,2,1972,47,437,2,0,0,66,21,0
55,3,1972,25,164,0,0,0,27,18,0
56,4,1972,28,310,1,0,0,65,8,0
57,5,1972,37,211,0,0,0,41,18,0
58,7,1972,16,61,0,0,0,22,15,0
59,8,1972,23,185,0,0,0,21,17,0
60,9,1972,29,126,0,0,0,29,15,0
61,10,1972,43,348,0,0,0,42,19,0
62,12,1972,28,134,0,0,0,21,23,0
63,13,1972,40,329,0,0,0,27,11,0
64,14,1972,27,179,0,0,0,60,9,0
65,15,1972,27,194,0,0,0,34,16,0
66,16,1972,18,125,0,0,0,48,22,0
67,18,1972,25,242,1,0,0,65,18,0
68,19,1972,18,100,0,0,0,26,14,0
69,30,1972,34,163,0,0,0,33,10,0
70,20,1972,25,364,2,0,0,85,23,0
71,22,1972,17,37,0,0,0,27,8,0
72,23,1972,24,66,0,0,0,14,10,0
73,24,1972,33,347,0,0,0,60,16,0
74,11,1972,34,159,0,0,0,28,22,0
75,26,1972,16,43,0,0,0,10,17,0
76,28,1972,30,262,0,0,0,54,20,0
77,31,1972,26,159,0,0,0,23,21,0
78,0,1973,37,393,0,0,0,61,11,0
79,1,1973,37,204,1,0,0,72,6,0
80,2,1973,45,333,0,0,0,47,14,0
81,3,1973,32,279,1,0,0,51,10,0
82,4,1973,40,404,0,0,0,53,9,0
83,5,1973,36,308,0,0,0,46,15,0
84,7,1973,27,192,0,0,0,51,13,0
85,8,1973,33,408,2,0,0,84,9,0
86,9,1973,42,279,0,0,0,48,18,0
87,10,1973,24,129,0,0,0,13,13,0
88,12,1973,28,174,0,0,0,46,21,0
89,13,1973,37,382,0,0,0,33,18,0
90,14,1973,15,116,0,0,0,43,17,0
91,15,1973,48,429,0,0,0,57,13,0
92,16,1973,21,160,0,0,0,28,17,0
93,18,1973,27,165,0,0,0,23,21,0
94,19,1973,35,289,0,0,0,42,12,0
95,30,1973,30,227,0,0,0,74,8,0
96,20,1973,30,137,0,0,0,26,19,0
97,22,1973,33,324,0,0,0,54,12,0
98,23,1973,46,344,1,0,0,63,13,0
99,24,1973,51,478,0,0,0,34,14,0
100,11,1973,40,331,0,0,0,27,17,0
101,26,1973,22,218,0,0,0,37,22,0
102,28,1973,52,416,0,0,0,44,9,0
103,31,1973,28,140,0,0,0,16,16,0
104,0,1974,44,398,1,0,0,88,5,0
105,1,1974,44,248,0,0,0,15,5,0
106,2,1974,52,632,2,0,0,90,6,0
107,3,1974,56,460,0,0,0,52,4,0
108,4,1974,43,474,0,0,0,60,7,0
109,5,1974,52,523,0,0,0,72,1,0
110,7,1974,52,512,0,0,0,43,9,0
111,8,1974,37,287,0,0,0,28,4,0
112,9,1974,44,296,0,0,0,54,4,0
113,10,1974,42,253,0,0,0,18,5,0
114,12,1974,62,573,1,0,0,98,7,0
115,13,1974,46,520,0,0,0,42,3,0
116,14,1974,37,339,0,0,0,22,5,0
117,15,1974,51,635,1,0,0,72,3,0
118,16,1974,41,408,0,0,0,40,2,0
119,18,1974,53,425,0,0,0,38,2,0
120,19,1974,34,429,0,0,0,58,10,0
121,30,1974,41,495,0,0,0,49,5,0
122,20,1974,42,416,2,0,0,95,8,0
123,22,1974,40,533,0,0,0,66,11,0
124,23,1974,45,517,0,0,0,55,3,0
125,24,1974,53,507,0,0,0,23,5,0
126,11,1974,46,453,1,0,0,58,6,0
127,26,1974,43,415,0,0,0,40,7,0
128,28,1974,67,774,1,0,0,69,3,0
129,31,1974,43,320,0,0,0,20,8,0
130,0,1975,63,616,0,0,0,66,1,0
131,1,1975,52,512,0,0,0,39,3,0
132,2,1975,48,267,0,0,0,34,6,0
133,3,1975,33,278,0,0,0,30,14,0
134,4,1975,41,470,0,0,0,51,5,0
135,5,1975,40,294,0,0,0,30,3,0
136,7,1975,40,410,1,0,0,69,6,0
137,8,1975,38,442,1,0,0,52,0,0
138,9,1975,37,303,0,0,0,34,6,0
139,10,1975,42,439,0,0,0,53,15,0
140,12,1975,32,313,1,0,0,43,15,0
141,13,1975,43,509,1,0,0,50,10,0
142,14,1975,35,299,0,0,0,39,5,0
143,15,1975,35,248,0,0,0,24,5,0
144,16,1975,49,350,1,0,0,65,9,0
145,18,1975,22,116,0,0,0,34,7,0
146,19,1975,36,328,0,0,0,43,12,0
147,30,1975,43,620,3,0,0,83,2,0
148,20,1975,30,190,0,0,0,27,7,0
149,22,1975,33,262,0,0,0,29,8,0
150,23,1975,58,688,0,0,0,64,4,0
151,24,1975,55,517,0,0,0,40,2,0
152,11,1975,61,464,1,0,0,52,9,0
153,26,1975,41,370,0,0,0,42,5,0
154,28,1975,54,548,0,0,0,48,13,0
155,31,1975,36,168,0,0,0,22,20,0
156,0,1976,65,557,2,0,0,60,9,0
157,1,1976,43,269,0,0,0,51,6,0
158,2,1976,54,343,0,0,0,32,13,0
159,3,1976,33,220,1,0,0,67,13,0
160,4,1976,51,640,4,0,0,92,5,0
161,5,1976,49,369,0,0,0,49,3,0
162,6,1976,43,366,0,0,0,32,0,0
163,7,1976,36,350,0,0,0,39,1,0
164,8,1976,45,490,0,0,0,43,1,0
165,9,1976,34,429,0,0,0,48,1,0
166,10,1976,40,315,0,0,0,44,13,0
167,12,1976,45,489,0,0,0,55,12,0
168,13,1976,35,415,1,0,0,79,5,0
169,14,1976,41,425,0,0,0,29,14,0
170,15,1976,60,385,0,0,0,24,5,0
171,16,1976,41,197,0,0,0,22,10,0
172,18,1976,40,289,1,0,0,60,2,0
173,19,1976,31,207,0,0,0,30,24,0
174,30,1976,48,504,1,0,0,69,12,0
175,20,1976,40,300,0,0,0,27,8,0
176,22,1976,48,628,2,0,0,89,0,0
177,23,1976,50,553,0,0,0,32,3,0
178,24,1976,52,476,0,0,0,25,3,0
179,11,1976,52,688,1,0,0,71,9,0
180,26,1976,42,375,0,0,0,67,14,0
181,27,1976,37,246,0,0,0,26,7,0
182,28,1976,71,636,0,0,0,36,2,0
183,31,1976,40,271,0,0,0,31,16,0
184,0,1977,48,292,0,0,0,60,5,0
185,1,1977,47,471,1,0,0,70,13,0
186,2,1977,41,328,0,0,0,70,10,0
187,3,1977,32,380,2,0,0,91,9,0
188,4,1977,58,712,1,0,0,87,8,0
189,5,1977,38,322,0,0,0,44,3,0
190,6,1977,48,359,0,0,0,36,3,0
191,7,1977,40,300,0,0,0,23,4,0
192,8,1977,46,521,1,0,0,88,3,0
193,9,1977,36,236,0,0,0,19,3,0
194,10,1977,42,323,0,0,0,24,14,0
195,12,1977,61,545,0,0,0,38,16,0
196,13,1977,40,315,0,0,0,39,6,0
197,14,1977,50,518,0,0,0,48,5,0
198,15,1977,59,402,0,0,0,37,12,0
199,16,1977,46,446,1,0,0,68,13,0
200,18,1977,38,480,0,0,0,49,5,0
201,19,1977,42,345,1,0,0,87,13,0
202,30,1977,36,539,2,0,0,87,8,0
203,20,1977,38,321,1,0,0,75,13,0
