id,team_id,year,playtype_id,att,cmp,yds,1st,td_allowed,sack
0,0,1970,0,384,185,2173,110,19,30
1,1,1970,0,394,233,2596,133,18,42
2,2,1970,0,428,209,2635,131,18,28
3,3,1970,0,338,157,2088,103,15,31
4,4,1970,0,379,191,2354,118,20,50
5,5,1970,0,357,186,2238,120,16,34
6,7,1970,0,382,183,2107,115,16,40
7,8,1970,0,365,207,2215,117,13,27
8,9,1970,0,408,195,2010,111,15,35
9,10,1970,0,452,238,2406,120,16,41
10,12,1970,0,399,193,1913,105,10,41
11,13,1970,0,403,234,2551,128,17,18
12,14,1970,0,313,161,1889,95,16,34
13,15,1970,0,348,191,2154,98,11,30
14,16,1970,0,364,186,2371,110,19,35
15,18,1970,0,383,165,2372,122,20,35
16,19,1970,0,371,194,2296,112,14,23
17,30,1970,0,344,164,2605,115,25,30
18,20,1970,0,369,177,2226,102,13,32
19,22,1970,0,334,177,2187,105,19,28
20,23,1970,0,339,157,2089,104,22,39
21,24,1970,0,378,196,2189,113,15,53
22,11,1970,0,374,205,2265,125,14,24
23,26,1970,0,430,238,3061,150,19,17
24,28,1970,0,393,191,2317,120,21,26
25,31,1970,0,367,195,1438,89,6,49
26,0,1970,1,425,0,1799,81,12,0
27,1,1970,1,459,0,1471,83,11,0
28,2,1970,1,418,0,1543,87,11,0
29,3,1970,1,484,0,1718,87,16,0
30,4,1970,1,409,0,1351,67,7,0
31,5,1970,1,451,0,2006,104,10,0
32,7,1970,1,472,0,1762,96,10,0
33,8,1970,1,480,0,1967,106,15,0
34,9,1970,1,418,0,1657,83,10,0
35,10,1970,1,390,0,1439,79,6,0
36,12,1970,1,415,0,1656,87,10,0
37,13,1970,1,387,0,1453,82,8,0
38,14,1970,1,457,0,2064,102,16,0
39,15,1970,1,479,0,1722,93,14,0
40,16,1970,1,419,0,1692,98,11,0
41,18,1970,1,408,0,1283,65,7,0
42,19,1970,1,362,0,1152,61,7,0
43,30,1970,1,466,0,1793,85,16,0
44,20,1970,1,453,0,1829,88,14,0
45,22,1970,1,503,0,2074,115,20,0
46,23,1970,1,460,0,2027,90,10,0
47,24,1970,1,395,0,1359,64,6,0
48,11,1970,1,468,0,2068,125,19,0
49,26,1970,1,469,0,1891,100,15,0
50,28,1970,1,487,0,1679,91,8,0
51,31,1970,1,398,0,1365,68,4,0
52,0,1971,0,341,152,2011,96,17,38
53,1,1971,0,362,192,2404,117,12,28
54,2,1971,0,335,157,2128,102,19,30
55,3,1971,0,303,157,2108,101,20,30
56,4,1971,0,356,150,1985,91,18,44
57,5,1971,0,339,156,1967,100,12,25
58,7,1971,0,375,212,2380,120,12,20
59,8,1971,0,347,193,2262,114,15,19
60,9,1971,0,418,209,2468,125,11,28
61,10,1971,0,361,185,1739,95,9,33
62,12,1971,0,421,209,2324,125,15,43
63,13,1971,0,363,206,2000,111,10,34
64,14,1971,0,407,220,2660,129,16,32
65,15,1971,0,343,164,1638,106,9,31
66,16,1971,0,333,173,2307,112,25,18
67,18,1971,0,342,163,2055,101,17,27
68,19,1971,0,306,163,2017,99,17,18
69,30,1971,0,354,180,2072,97,11,37
70,20,1971,0,353,186,2301,110,21,19
71,22,1971,0,350,170,2154,111,16,25
72,23,1971,0,359,184,2386,122,15,32
73,24,1971,0,387,200,2379,129,15,37
74,11,1971,0,411,191,2127,119,11,36
75,26,1971,0,333,175,2238,110,20,24
76,28,1971,0,408,235,2766,132,16,33
77,31,1971,0,405,206,1806,91,10,27
78,0,1971,1,408,0,1668,80,4,0
79,1,1971,1,509,0,2116,99,14,0
80,2,1971,1,446,0,1778,93,11,0
81,3,1971,1,562,0,2496,135,21,0
82,4,1971,1,426,0,1834,90,11,0
83,5,1971,1,484,0,2227,115,14,0
84,7,1971,1,486,0,1985,109,10,0
85,8,1971,1,493,0,2296,143,25,0
86,9,1971,1,367,0,1300,73,9,0
87,10,1971,1,352,0,1113,60,8,0
88,12,1971,1,353,0,1144,59,8,0
89,13,1971,1,403,0,1661,93,10,0
90,14,1971,1,450,0,1962,104,16,0
91,15,1971,1,500,0,2149,114,19,0
92,16,1971,1,449,0,2059,104,12,0
93,18,1971,1,472,0,2302,118,18,0
94,19,1971,1,432,0,1842,97,15,0
95,30,1971,1,489,0,1723,117,22,0
96,20,1971,1,489,0,1707,104,7,0
97,22,1971,1,481,0,1918,106,14,0
98,23,1971,1,480,0,1751,100,14,0
99,24,1971,1,455,0,1658,91,11,0
100,11,1971,1,408,0,1396,73,7,0
101,26,1971,1,495,0,2200,129,18,0
102,28,1971,1,440,0,1482,81,13,0
103,31,1971,1,447,0,1600,85,2,0
104,0,1972,0,366,169,2179,105,14,46
105,1,1972,0,342,180,2172,108,16,23
106,2,1972,0,350,167,1737,92,11,38
107,3,1972,0,308,131,1951,95,19,22
108,4,1972,0,397,206,2183,123,19,41
109,5,1972,0,310,160,1736,89,14,38
110,7,1972,0,365,221,2550,138,15,22
111,8,1972,0,358,201,2208,124,18,26
112,9,1972,0,368,186,2222,116,17,32
113,10,1972,0,313,178,2323,109,15,25
114,12,1972,0,382,187,2240,113,18,32
115,13,1972,0,348,178,1749,96,10,33
116,14,1972,0,318,175,2472,117,20,17
117,15,1972,0,301,137,1704,83,13,24
118,16,1972,0,333,182,2339,111,19,37
119,18,1972,0,363,186,2637,118,18,27
120,19,1972,0,312,171,2004,103,18,21
121,30,1972,0,324,174,2143,100,12,24
122,20,1972,0,340,174,1957,109,7,29
123,22,1972,0,326,175,2533,124,24,15
124,23,1972,0,348,166,2152,104,14,27
125,24,1972,0,363,181,2145,110,20,42
126,11,1972,0,367,186,1862,108,10,35
