id,team_id,year,ff,fr,fr_td,int,int_yds,int_td,safety
0,0,1970,0,20,0,22,308,2,2
1,1,1970,0,14,0,17,129,0,0
2,2,1970,0,16,3,23,180,0,0
3,3,1970,0,15,0,11,179,2,0
4,4,1970,0,16,0,16,220,0,2
5,5,1970,0,12,0,19,324,3,3
6,7,1970,0,14,1,21,255,2,0
7,8,1970,0,15,1,9,90,0,1
8,9,1970,0,12,1,31,395,1,0
9,10,1970,0,9,0,25,408,3,0
10,12,1970,0,15,0,24,307,0,0
11,13,1970,0,15,0,23,414,1,0
12,14,1970,0,18,1,10,102,0,0
13,15,1970,0,16,2,19,191,0,0
14,16,1970,0,13,0,17,223,0,1
15,18,1970,0,11,0,23,281,2,1
16,19,1970,0,16,0,28,417,4,0
17,30,1970,0,8,1,18,242,0,1
18,20,1970,0,17,0,20,398,1,0
19,22,1970,0,17,0,8,184,0,0
20,23,1970,0,8,0,19,112,0,0
21,24,1970,0,16,1,19,280,2,0
22,11,1970,0,13,0,15,240,0,0
23,26,1970,0,16,1,22,260,0,0
24,28,1970,0,15,0,23,266,1,0
25,31,1970,0,16,3,28,412,2,0
26,0,1971,0,16,2,14,186,0,0
27,1,1971,0,23,2,22,267,0,0
28,2,1971,0,12,1,27,273,2,0
29,3,1971,0,11,1,11,93,0,1
30,4,1971,0,20,0,20,288,1,1
31,5,1971,0,16,1,24,283,0,1
32,7,1971,0,16,0,17,191,1,0
33,8,1971,0,10,1,22,317,2,1
34,9,1971,0,6,0,27,403,3,0
35,10,1971,0,13,1,28,367,1,1
36,12,1971,0,25,1,26,402,0,1
37,13,1971,0,14,0,17,143,0,0
38,14,1971,0,25,1,22,374,1,0
39,15,1971,0,18,2,20,180,1,1
40,16,1971,0,15,2,15,227,1,0
41,18,1971,0,14,0,13,136,0,0
42,19,1971,0,11,2,22,295,3,1
43,30,1971,0,14,2,23,456,5,0
44,20,1971,0,16,0,16,205,0,1
45,22,1971,0,14,0,15,229,2,0
46,23,1971,0,17,1,23,453,2,0
47,24,1971,0,7,1,27,452,2,0
