id,team_id,year,ko,yds,tb,ret,ret_avg,osk,osk_rec,oob,td
0,0,1970,76,0,18,0,0,0,0,0,0
1,1,1970,62,0,15,0,0,0,0,0,0
2,2,1970,74,0,41,0,0,0,0,0,0
3,3,1970,50,0,3,0,0,0,0,0,0
4,4,1970,60,0,36,0,0,0,0,0,0
5,5,1970,60,0,21,0,0,0,0,0,0
6,7,1970,71,0,17,0,0,0,0,0,0
7,8,1970,61,0,9,0,0,0,0,0,0
8,9,1970,70,0,25,0,0,0,0,0,0
9,10,1970,70,0,12,0,0,0,0,0,0
10,12,1970,68,0,8,0,0,0,0,0,0
11,13,1970,69,0,14,0,0,0,0,0,0
12,14,1970,57,0,6,0,0,0,0,0,0
13,15,1970,49,0,8,0,0,0,0,0,0
14,16,1970,69,0,10,0,0,0,0,0,0
15,18,1970,62,0,4,0,0,0,0,0,0
16,19,1970,74,0,6,0,0,0,0,0,0
17,30,1970,56,0,24,0,0,0,0,0,0
18,20,1970,51,0,15,0,0,0,0,0,0
19,22,1970,42,0,1,0,0,0,0,0,0
20,23,1970,66,0,12,0,0,0,0,0,0
21,24,1970,76,0,5,0,0,0,0,0,0
22,11,1970,67,0,18,0,0,0,0,0,0
23,26,1970,47,0,12,0,0,0,0,0,0
24,28,1970,53,0,4,0,0,0,0,0,0
25,31,1970,78,0,9,0,0,0,0,0,0
26,0,1971,70,0,9,0,0,0,0,0,0
27,1,1971,48,0,16,0,0,0,0,0,0
28,2,1971,65,0,26,0,0,0,0,0,0
29,3,1971,49,0,7,0,0,0,0,0,0
30,4,1971,57,0,14,0,0,0,0,0,0
31,5,1971,62,0,7,0,0,0,0,0,0
32,7,1971,59,0,4,0,0,0,0,0,0
33,8,1971,67,0,11,0,0,0,0,0,0
34,9,1971,71,0,24,0,0,0,0,0,0
35,10,1971,69,0,7,0,0,0,0,0,0
36,12,1971,82,0,12,0,0,0,0,0,0
37,13,1971,75,0,16,0,0,0,0,0,0
38,14,1971,56,0,8,0,0,0,0,0,0
39,15,1971,61,0,9,0,0,0,0,0,0
40,16,1971,50,0,5,0,0,0,0,0,0
41,18,1971,50,0,15,0,0,0,0,0,0
42,19,1971,74,0,4,0,0,0,0,0,0
43,30,1971,60,0,18,0,0,0,0,0,0
44,20,1971,61,0,5,0,0,0,0,0,0
45,22,1971,54,0,5,0,0,0,0,0,0
46,23,1971,72,0,17,0,0,0,0,0,0
47,24,1971,66,0,8,0,0,0,0,0,0
48,11,1971,70,0,9,0,0,0,0,0,0
49,26,1971,61,0,7,0,0,0,0,0,0
50,28,1971,61,0,16,0,0,0,0,0,0
51,31,1971,61,0,11,0,0,0,0,0,0
52,0,1972,75,0,9,0,0,0,0,0,0
53,1,1972,54,0,12,0,0,0,0,0,0
54,2,1972,72,0,28,0,0,0,0,0,0
55,3,1972,60,0,31,0,0,0,0,0,0
56,4,1972,71,0,17,0,0,0,0,0,0
57,5,1972,63,0,13,0,0,0,0,0,0
58,7,1972,50,0,9,0,0,0,0,0,0
59,8,1972,61,0,8,0,0,0,0,0,0
60,9,1972,67,0,24,0,0,0,0,0,0
61,10,1972,54,0,4,0,0,0,0,0,0
62,12,1972,71,0,19,0,0,0,0,0,0
63,13,1972,83,0,27,0,0,0,0,0,0
64,14,1972,46,0,5,0,0,0,0,0,0
65,15,1972,61,0,13,0,0,0,0,0,0
66,16,1972,74,0,11,0,0,0,0,0,0
67,18,1972,80,0,32,0,0,0,0,0,0
68,19,1972,74,0,6,0,0,0,0,0,0
69,30,1972,46,0,17,0,0,0,0,0,0
70,20,1972,74,0,28,0,0,0,0,0,0
71,22,1972,48,0,16,0,0,0,0,0,0
72,23,1972,76,0,16,0,0,0,0,0,0
73,24,1972,66,0,11,0,0,0,0,0,0
74,11,1972,70,0,17,0,0,0,0,0,0
75,26,1972,52,0,2,0,0,0,0,0,0
76,28,1972,80,0,26,0,0,0,0,0,0
77,31,1972,69,0,7,0,0,0,0,0,0
78,0,1973,66,0,13,0,0,0,0,0,0
79,1,1973,51,0,18,0,0,0,0,0,0
80,2,1973,69,0,27,0,0,0,0,0,0
81,3,1973,64,0,20,0,0,0,0,0,0
82,4,1973,77,0,15,0,0,0,0,0,0
83,5,1973,58,0,10,0,0,0,0,0,0
84,7,1973,66,0,9,0,0,0,0,0,0
85,8,1973,48,0,13,0,0,0,0,0,0
86,9,1973,61,0,21,0,0,0,0,0,0
87,10,1973,56,0,13,0,0,0,0,0,0
88,12,1973,75,0,22,0,0,0,0,0,0
89,13,1973,78,0,22,0,0,0,0,0,0
90,14,1973,71,0,16,0,0,0,0,0,0
91,15,1973,74,0,16,0,0,0,0,0,0
92,16,1973,56,0,12,0,0,0,0,0,0
93,18,1973,58,0,14,0,0,0,0,0,0
94,19,1973,64,0,6,0,0,0,0,0,0
95,30,1973,52,0,15,0,0,0,0,0,0
96,20,1973,56,0,16,0,0,0,0,0,0
97,22,1973,59,0,18,0,0,0,0,0,0
98,23,1973,67,0,21,0,0,0,0,0,0
99,24,1973,86,0,18,0,0,0,0,0,0
100,11,1973,73,0,11,0,0,0,0,0,0
101,26,1973,48,0,15,0,0,0,0,0,0
102,28,1973,80,0,21,0,0,0,0,0,0
103,31,1973,68,0,9,0,0,0,0,0,0
104,0,1974,53,0,2,0,0,0,0,0,0
105,1,1974,43,0,8,0,0,0,0,0,0
106,2,1974,59,0,3,0,0,0,0,0,0
107,3,1974,62,0,3,0,0,0,0,0,0
108,4,1974,65,0,6,0,0,0,0,0,0
109,5,1974,61,0,6,0,0,0,0,0,0
110,7,1974,62,0,8,0,0,0,0,0,0
111,8,1974,48,0,8,0,0,0,0,0,0
112,9,1974,57,0,3,0,0,0,0,0,0
113,10,1974,47,0,2,0,0,0,0,0,0
114,12,1974,62,0,1,0,0,0,0,0,0
115,13,1974,64,0,0,0,0,0,0,0,0
116,14,1974,55,0,9,0,0,0,0,0,0
117,15,1974,35,0,2,0,0,0,0,0,0
118,16,1974,48,0,3,0,0,0,0,0,0
119,18,1974,63,0,6,0,0,0,0,0,0
120,19,1974,63,0,3,0,0,0,0,0,0
121,30,1974,53,0,2,0,0,0,0,0,0
122,20,1974,58,0,3,0,0,0,0,0,0
123,22,1974,75,0,11,0,0,0,0,0,0
124,23,1974,72,0,3,0,0,0,0,0,0
125,24,1974,58,0,0,0,0,0,0,0,0
126,11,1974,71,0,7,0,0,0,0,0,0
127,26,1974,42,0,2,0,0,0,0,0,0
128,28,1974,67,0,11,0,0,0,0,0,0
129,31,1974,66,0,2,0,0,0,0,0,0
130,0,1975,59,0,7,0,0,0,0,0,0
131,1,1975,48,0,1,0,0,0,0,0,0
132,2,1975,69,0,1,0,0,0,0,0,0
133,3,1975,80,0,16,0,0,0,0,0,0
134,4,1975,60,0,2,0,0,0,0,0,0
