id,team_id,year,xp_md,xp_pct,2pt_md,fg_lng,fg_blk
0,0,1970,39,95.1,0,48,3
1,1,1970,28,100.0,0,50,1
2,2,1970,33,100.0,0,53,2
3,3,1970,24,96.0,0,52,1
4,4,1970,27,96.4,0,53,3
5,5,1970,34,97.1,0,47,1
6,7,1970,37,97.4,0,49,1
7,8,1970,34,97.1,0,48,1
8,9,1970,26,100.0,0,55,2
9,10,1970,36,94.7,0,48,3
10,12,1970,35,100.0,0,43,1
11,13,1970,33,100.0,0,47,0
12,14,1970,25,89.3,0,42,3
13,15,1970,23,88.5,0,49,5
14,16,1970,32,100.0,0,54,1
15,18,1970,28,100.0,0,42,1
16,19,1970,41,100.0,0,51,2
17,30,1970,23,100.0,0,48,3
18,20,1970,19,90.5,0,49,5
19,22,1970,17,94.4,0,41,4
20,23,1970,36,100.0,0,52,3
21,24,1970,34,100.0,0,46,1
22,11,1970,33,97.1,0,49,1
23,26,1970,16,94.1,0,63,6
24,28,1970,24,96.0,0,49,1
25,31,1970,35,100.0,0,47,0
26,0,1971,32,100.0,0,48,1
27,1,1971,18,100.0,0,45,1
28,2,1971,31,100.0,0,51,1
29,3,1971,20,95.2,0,51,1
30,4,1971,18,100.0,0,49,3
31,5,1971,34,100.0,0,40,1
32,7,1971,24,100.0,0,45,2
33,8,1971,36,97.3,0,50,1
34,9,1971,32,100.0,0,54,3
35,10,1971,35,97.2,0,50,0
36,12,1971,50,100.0,0,48,0
37,13,1971,33,100.0,0,48,2
38,14,1971,23,95.8,0,54,6
39,15,1971,29,87.9,0,41,3
40,16,1971,30,100.0,0,37,2
41,18,1971,25,96.2,0,42,1
42,19,1971,39,100.0,0,49,1
43,30,1971,26,89.7,0,44,1
44,20,1971,32,97.0,0,44,3
45,22,1971,28,100.0,0,51,3
46,23,1971,41,97.6,0,42,2
47,24,1971,37,100.0,0,49,1
48,11,1971,27,100.0,0,52,1
49,26,1971,29,93.6,0,38,3
50,28,1971,27,100.0,0,45,2
51,31,1971,25,100.0,0,47,2
52,0,1972,41,97.6,0,50,0
53,1,1972,26,100.0,0,45,0
54,2,1972,30,96.8,0,51,3
55,3,1972,29,96.7,0,48,0
56,4,1972,37,100.0,0,49,1
57,5,1972,28,96.6,0,57,0
58,7,1972,19,90.5,0,49,1
59,8,1972,28,93.3,0,51,2
60,9,1972,32,100.0,0,50,3
61,10,1972,28,100.0,0,42,4
62,12,1972,36,100.0,0,54,0
63,13,1972,43,95.6,0,54,3
64,14,1972,11,91.7,0,52,0
65,15,1972,31,100.0,0,41,2
66,16,1972,34,89.5,0,49,1
67,18,1972,40,97.6,0,42,1
68,19,1972,38,97.4,0,51,1
69,30,1972,17,94.4,0,49,3
70,20,1972,29,100.0,0,51,6
71,22,1972,24,100.0,0,42,2
72,23,1972,44,100.0,0,48,1
73,24,1972,31,100.0,0,48,0
74,11,1972,40,97.6,0,46,0
75,26,1972,24,96.0,0,46,3
76,28,1972,35,97.2,0,49,4
77,31,1972,34,100.0,0,45,1
78,0,1973,26,100.0,0,54,1
79,1,1973,21,95.4,0,47,1
80,2,1973,31,96.9,0,51,0
