id,location,name,logo
0,San Francisco,49ers,https://res.cloudinary.com/nflleague/image/private/f_auto/league/dxibuyxbk0b9ua5ih9hn
1,Chicago,Bears,https://static.www.nfl.com/image/private/f_auto/league/ijrplti0kmzsyoaikhv1
2,Cincinnati,Bengals,https://res.cloudinary.com/nflleague/image/private/f_auto/league/okxpteoliyayufypqalq
3,Buffalo,Bills,https://res.cloudinary.com/nflleague/image/private/f_auto/league/giphcy6ie9mxbnldntsf
4,Denver,Broncos,https://res.cloudinary.com/nflleague/image/private/f_auto/league/t0p7m5cjdjy18rnzzqbx
5,Cleveland,Browns,https://static.www.nfl.com/image/private/f_auto/league/fgbn8acp4opvyxk13dcy
6,Tampa Bay,Buccaneers,https://static.www.nfl.com/image/private/f_auto/league/v8uqiualryypwqgvwcih
7,Arizona,Cardinals,https://static.www.nfl.com/image/private/f_auto/league/u9fltoslqdsyao8cpm0k
8,Los Angeles,Chargers,https://static.www.nfl.com/image/private/f_auto/league/dhfidtn8jrumakbogeu4
9,Kansas City,Chiefs,https://res.cloudinary.com/nflleague/image/private/f_auto/league/ujshjqvmnxce8m4obmvs
10,Indianapolis,Colts,https://static.www.nfl.com/image/private/f_auto/league/ketwqeuschqzjsllbid5
11,Washington,Commanders,https://static.www.nfl.com/image/private/f_auto/league/xymxwrxtyj9fhaemhdyd
12,Dallas,Cowboys,https://static.www.nfl.com/image/private/f_auto/league/ieid8hoygzdlmzo0tnf6
13,Miami,Dolphins,https://res.cloudinary.com/nflleague/image/private/f_auto/league/lits6p8ycthy9to70bnt
14,Philadelphia,Eagles,https://res.cloudinary.com/nflleague/image/private/f_auto/league/puhrqgj71gobgdkdo6uq
15,Atlanta,Falcons,https://static.www.nfl.com/image/private/f_auto/league/d8m7hzpsbrl6pnqht8op
16,New York,Giants,https://res.cloudinary.com/nflleague/image/private/f_auto/league/t6mhdmgizi6qhndh8b9p
17,Jacksonville,Jaguars,https://res.cloudinary.com/nflleague/image/private/f_auto/league/qycbib6ivrm9dqaexryk
18,New York,Jets,https://static.www.nfl.com/image/private/f_auto/league/ekijosiae96gektbo4iw
19,Detroit,Lions,https://res.cloudinary.com/nflleague/image/private/f_auto/league/ocvxwnapdvwevupe4tpr
20,Green Bay,Packers,https://res.cloudinary.com/nflleague/image/private/f_auto/league/gppfvr7n8gljgjaqux2x
21,Carolina,Panthers,https://static.www.nfl.com/image/private/f_auto/league/ervfzgrqdpnc7lh5gqwq
22,New England,Patriots,https://res.cloudinary.com/nflleague/image/private/f_auto/league/moyfxx3dq5pio4aiftnc
23,Las Vegas,Raiders,https://static.www.nfl.com/image/private/f_auto/league/gzcojbzcyjgubgyb6xf2
24,Los Angeles,Rams,https://static.www.nfl.com/image/private/f_auto/league/ayvwcmluj2ohkdlbiegi
25,Baltimore,Ravens,https://res.cloudinary.com/nflleague/image/private/f_auto/league/ucsdijmddsqcj1i9tddd
26,New Orleans,Saints,https://static.www.nfl.com/image/private/f_auto/league/grhjkahghjkk17v43hdx
27,Seattle,Seahawks,https://res.cloudinary.com/nflleague/image/private/f_auto/league/gcytzwpjdzbpwnwxincg
28,Pittsburgh,Steelers,https://res.cloudinary.com/nflleague/image/private/f_auto/league/xujg9t3t4u5nmjgr54wx
29,Houston,Texans,https://static.www.nfl.com/image/private/f_auto/league/bpx88i8nw4nnabuq0oob
30,Tennessee,Titans,https://static.www.nfl.com/image/private/f_auto/league/pln44vuzugjgipyidsre
31,Minnesota,Vikings,https://res.cloudinary.com/nflleague/image/private/f_auto/league/teguylrnqqmfcwxvcmmz
